X,Y,Nome,Municipio,Codigo,Estado,Categoria,Operadora,icon_url
-67.815927,-9.953252,AEROPORTO INTERNACIONAL DE RIO BRANCO,RIO BRANCO,SBRB,AC,Internacional,INFRAERO,./0.png
-72.613344,-7.71786,AEROPORTO INTERNACIONAL DE CRUZEIRO DO SUL,CRUZEIRO DO SUL,SBCZ,AC,Internacional,INFRAERO,./0.png
-69.838437,-4.18835,AEROPORTO INTERNACIONAL DE TABATINGA,TABATINGA,SBTT,AM,Internacional,INFRAERO,./0.png
-57.140765,-29.823101,AEROPORTO INTERNACIONAL RUBEM BERTA,URUGUAIANA,SBUG,RS,Internacional,INFRAERO,./0.png
-55.541756,-30.861438,SANTANA DO LIVRAMENTO,SANTANA DO LIVRAMENTO,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-55.066194,-30.270149,ROSARIO DO SUL,ROSARIO DO SUL,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-54.151244,-31.886462,ACEGUA,BAGE,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-54.057647,-31.344078,AEROPORTO COMANDANTE GUSTAVO KRAEMER,BAGÉ,SBBG,RS,Doméstico,INFRAERO,./0.png
-53.780186,-29.737337,SANTA MARIA,SANTA MARIA,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-52.161302,-32.073854,AEROPORTO DE ARACAJU,RIO GRANDE DO SUL,Não Informado,RS,Doméstico,INFRAERO,./0.png
-52.386817,-31.783078,AEROPORTO DE PELOTAS,PELOTAS,SBPK,RS,Doméstico,INFRAERO,./0.png
-51.171402,-29.993337,AEROPORTO INTERNACIONAL SALGADO FILHO,PORTO ALEGRE,SBPA,RS,Internacional,INFRAERO,./0.png
-54.242638,-28.26023,SANTO ANGELO,SANTO ANGELO,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-52.776315,-28.322632,CARAZINHO,CARAZINHO,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-54.45861,-25.662068,AEROPORTO DE FOZ DO IGUAÇU,FOZ DO IGUAÇÚ,SBFI,PR,Internacional,INFRAERO,./0.png
-52.652677,-27.185848,CHAPECO,CHAPECO,Não Informado,SC,Doméstico,NÃO INFORMADA,./0.png
-51.531997,-29.118675,BENTO GONCALVES,BENTO GONCALVES,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-52.428216,-28.244284,PASSO FUNDO,PASSO FUNDO,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-51.185885,-29.180115,CAXIAS DO SUL,CAXIAS DO SUL,Não Informado,RS,Doméstico,NÃO INFORMADA,./0.png
-50.349904,-27.809385,LAGES,LAGES,Não Informado,SC,Doméstico,NÃO INFORMADA,./0.png
-52.420529,-26.87052,XANXERE,XANXERE,Não Informado,SC,Doméstico,NÃO INFORMADA,./0.png
-55.692751,-22.508488,AEROPORTO INTERNACIONAL DE PONTA PORÃ,PONTA PORÃ,SBPP,MS,Internacional,INFRAERO,./0.png
-55.052059,-22.198398,DOURADOS,DOURADOS,Não Informado,MS,Doméstico,NÃO INFORMADA,./0.png
-57.662816,-18.937982,AEROPORTO INTERNACIONAL DE CORUMBÁ,CORUMBÁ,SBCR,MS,Internacional,INFRAERO,./0.png
-54.633335,-20.430974,AEROPORTO INTERNACIONAL DE CAMPO GRANDE,CAMPO GRANDE,SBCG,MS,Internacional,INFRAERO,./0.png
-53.745838,-24.737976,TOLEDO,TOLEDO,Não Informado,PR,Doméstico,NÃO INFORMADA,./0.png
-54.26536,-24.099403,GUAIRA,GUAIRA,Não Informado,PR,Doméstico,NÃO INFORMADA,./0.png
-53.434958,-24.94621,CASCAVEL,CASCAVEL,Não Informado,PR,Doméstico,NÃO INFORMADA,./0.png
-52.973056,-22.525278,ROSANA,ROSANA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.942499,-23.423364,MARINGA,MARINGA,Não Informado,PR,Doméstico,NÃO INFORMADA,./0.png
-51.150787,-23.31969,AEROPORTO DE LONDRINA,LONDRINA,SBLO,PR,Doméstico,INFRAERO,./0.png
-52.230556,-22.539444,TEODORO SAMPAIO,TEODORO SAMPAIO,Não Informado,SP,Doméstico,TDSAM,./0.png
-52.255278,-22.288333,TEODORO SAMPAIO,TEODORO SAMPAIO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-52.304167,-22.141667,PRESIDENTE EPITACIO,PRESIDENTE EPITÁCIO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.529722,-22.482222,NARANDIBA,NARANDIBA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.41758,-22.151921,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.451111,-22.100556,ALVARES MACHADO,ÁLVARES MACHADO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-52.1625,-21.87,PRESIDENTE BERNARDES,PRESIDENTE EPITÁCIO,Não Informado,SP,Doméstico,PRBER,./0.png
-52.143611,-21.775,PRESIDENTE EPITÁCIO,PRESIDENTE EPITÁCIO,Não Informado,SP,Doméstico,DAESP,./0.png
-51.849277,-21.773633,PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,Não Informado,SP,Doméstico,PRVEN,./0.png
-51.598889,-21.995556,PRESIDENTE BERNARDES,PRESIDENTE BERNARDES,Não Informado,SP,Doméstico,PRBER,./0.png
-51.606111,-21.460556,DRACENA,DRACENA,Não Informado,SP,Doméstico,DAESP,./0.png
-51.598333,-21.3925,TUPI PAULISTA,TUPI PAULISTA,Não Informado,SP,Doméstico,TUPPT,./0.png
-51.405556,-21.053889,ANDRADINA,ANDRADINA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
